,use_of_ip,abnormal_url,count.,count-www,count@,count_dir,count_embed_domian,short_url,count-https,count-http,count%,count?,count-,count=,url_length,hostname_length,sus_url,fd_length,tld_length,count-digits,count-letters
0,0,1,9,0,0,2,0,0,0,1,0,1,0,1,134,12,0,7,3,33,83
1,0,1,1,0,0,4,0,0,0,1,42,0,3,0,161,9,0,5,3,44,64
2,0,1,2,0,0,3,0,0,0,1,0,0,0,0,144,13,0,10,6,6,113
3,0,1,1,0,0,5,0,0,0,1,0,0,8,0,95,11,0,4,3,14,64
4,0,1,1,0,0,3,0,0,0,1,0,0,12,0,115,8,0,11,3,0,96
5,0,1,1,0,0,3,0,0,0,1,0,0,10,0,97,13,0,9,3,8,72
6,0,1,1,0,0,6,0,0,0,1,0,0,7,0,98,11,0,2,3,0,81
7,0,1,2,0,0,1,0,0,0,2,68,1,1,1,289,11,0,4,3,93,114
8,0,1,1,0,0,4,0,0,0,1,42,0,2,0,166,7,0,4,3,51,63
9,0,1,2,0,0,2,0,0,0,1,0,0,12,0,98,10,0,6,2,8,71
10,0,1,2,0,0,6,0,0,0,1,0,0,10,0,120,14,1,12,3,10,89
11,0,1,1,0,0,5,0,0,0,1,0,0,7,0,88,12,0,8,3,10,62
12,0,1,2,0,0,4,0,0,0,1,0,0,4,0,88,13,1,16,3,0,75
13,0,1,1,0,0,3,0,0,0,1,0,0,11,0,97,6,0,6,3,6,73
14,0,1,1,0,0,4,0,0,0,1,0,0,8,0,107,13,0,4,3,45,46
15,0,1,4,0,0,3,0,0,0,1,3,0,2,0,143,15,0,16,2,21,96
16,0,1,1,0,0,5,0,0,1,1,0,0,6,0,89,17,0,4,3,8,66
17,0,1,2,0,0,1,0,0,0,1,0,0,12,0,91,17,0,66,3,0,73
18,0,1,1,0,0,2,0,0,0,1,0,0,17,0,105,13,0,83,4,2,80
19,0,1,1,0,0,6,0,0,0,1,0,0,8,0,90,11,0,2,3,0,72
20,0,1,1,0,0,7,0,0,0,1,0,0,6,0,88,14,0,4,3,8,63
21,0,1,1,0,0,4,0,0,0,1,0,0,9,0,96,14,0,5,3,9,70
22,0,1,1,0,0,3,0,0,0,1,0,0,12,0,118,13,0,9,3,6,93
23,0,1,3,0,0,4,0,0,0,1,96,0,10,0,333,9,0,4,3,112,105
24,0,1,1,0,0,5,0,0,0,1,0,0,6,0,87,14,0,4,3,8,64
25,0,1,14,0,0,3,0,0,0,1,0,0,0,0,116,15,0,16,2,14,81
26,0,1,1,0,0,4,0,0,0,1,48,0,2,0,183,7,0,4,3,54,71
27,0,1,1,0,0,4,0,0,0,1,45,0,2,0,174,7,0,4,3,50,69
28,0,1,2,0,0,2,0,0,0,1,0,1,0,9,113,10,0,4,3,6,82
29,0,1,4,0,0,1,0,0,0,2,0,1,0,2,111,7,0,8,2,31,63
30,0,1,1,0,0,4,0,0,0,1,36,0,0,0,144,13,0,1,2,28,71
31,0,1,1,0,0,2,0,0,0,1,0,0,10,0,86,8,0,5,3,0,70
32,0,1,3,1,0,3,0,0,0,1,2,0,1,0,70,16,0,3,3,8,48
33,0,1,2,0,0,5,0,0,0,1,0,0,8,0,87,11,0,4,5,15,54
34,0,1,1,0,0,4,0,0,0,1,0,0,8,0,90,6,0,7,3,4,70
35,0,1,1,0,0,5,0,0,0,1,22,0,0,0,104,14,0,4,2,28,44
36,0,1,1,0,0,4,0,0,0,1,62,0,5,0,224,9,0,5,3,73,76
37,0,1,1,0,0,3,0,0,0,1,26,0,0,0,103,9,0,3,2,29,41
38,0,1,2,0,0,2,0,0,0,1,0,0,11,0,94,13,0,17,2,6,70
39,0,1,2,0,0,2,0,0,0,1,0,0,10,0,83,10,0,6,2,8,58
40,0,1,2,0,0,2,0,0,0,1,0,1,0,5,129,13,1,13,3,27,83
41,0,1,2,0,0,1,0,1,0,2,0,1,1,2,96,13,0,6,3,0,79
42,0,1,1,0,0,6,0,0,0,1,0,0,4,0,85,10,0,6,3,4,65
43,0,1,1,0,0,3,0,0,0,1,0,0,14,0,94,10,0,2,3,0,73
44,0,1,1,0,0,4,0,1,0,1,0,0,11,0,97,10,0,6,3,6,72
45,0,1,2,0,0,4,0,1,0,1,0,1,6,1,113,7,1,11,3,23,73
46,0,1,1,0,0,2,0,0,0,1,0,0,11,0,99,11,0,7,3,7,75
47,0,1,2,0,0,2,0,0,0,1,0,0,14,0,107,9,0,7,2,19,67
48,0,1,1,0,0,3,0,0,0,1,0,0,14,0,117,7,0,8,3,6,90
49,0,1,2,0,0,6,0,0,0,1,0,0,9,0,105,14,0,7,3,8,77
50,0,1,1,0,1,2,0,0,1,1,0,0,9,0,95,10,0,15,3,6,72
51,0,1,1,0,0,4,0,0,0,1,0,0,8,0,90,13,0,7,3,7,67
52,0,1,1,0,0,5,0,0,0,1,0,0,11,0,122,14,0,4,3,8,94
53,0,1,7,1,0,7,0,0,0,1,0,1,3,1,98,14,0,2,3,13,63
54,0,1,1,0,0,3,0,0,0,1,23,0,0,0,98,7,0,4,2,30,38
55,0,1,1,0,0,3,0,0,0,1,4,1,1,2,188,15,0,9,3,6,153
56,0,1,2,0,0,3,0,0,1,1,0,1,0,2,97,9,0,6,2,3,74
57,0,1,1,0,0,5,0,0,0,1,0,1,5,1,86,11,0,4,3,8,61
58,0,1,1,0,0,3,0,0,0,1,0,0,7,0,85,6,0,6,3,6,65
59,0,1,1,0,0,7,0,0,0,1,0,0,2,0,88,6,0,2,2,1,74
60,0,1,1,0,0,3,0,0,0,1,4,1,1,2,180,15,0,9,3,6,145
61,0,1,2,0,0,1,0,0,0,1,0,0,10,0,92,12,1,72,2,2,74
62,0,1,1,0,0,2,0,0,0,1,38,1,5,1,148,11,0,4,2,31,66
63,0,1,2,0,0,2,0,0,0,1,0,1,0,9,107,10,0,4,3,4,78
64,0,1,1,0,0,8,0,0,0,1,0,0,0,0,89,6,0,12,2,2,75
65,0,1,1,0,0,4,0,1,0,1,0,0,7,0,83,10,0,6,3,6,62
66,0,1,1,0,0,4,0,0,0,1,0,0,11,0,93,8,0,4,3,6,68
67,0,1,2,0,0,1,0,1,0,2,0,1,1,2,101,13,0,6,3,0,83
