,url_length,count-letters,count-,hostname_length,count-www,fd_length,count.,count-digits,count_dir,tld_length
0,134,83,0,12,0,7,9,33,2,3
1,161,64,3,9,0,5,1,44,4,3
2,144,113,0,13,0,10,2,6,3,6
3,95,64,8,11,0,4,1,14,5,3
4,115,96,12,8,0,11,1,0,3,3
5,97,72,10,13,0,9,1,8,3,3
6,98,81,7,11,0,2,1,0,6,3
7,289,114,1,11,0,4,2,93,1,3
8,166,63,2,7,0,4,1,51,4,3
9,98,71,12,10,0,6,2,8,2,2
10,120,89,10,14,0,12,2,10,6,3
11,88,62,7,12,0,8,1,10,5,3
12,88,75,4,13,0,16,2,0,4,3
13,97,73,11,6,0,6,1,6,3,3
14,107,46,8,13,0,4,1,45,4,3
15,143,96,2,15,0,16,4,21,3,2
16,89,66,6,17,0,4,1,8,5,3
17,91,73,12,17,0,66,2,0,1,3
18,105,80,17,13,0,83,1,2,2,4
19,90,72,8,11,0,2,1,0,6,3
20,88,63,6,14,0,4,1,8,7,3
21,96,70,9,14,0,5,1,9,4,3
22,118,93,12,13,0,9,1,6,3,3
23,333,105,10,9,0,4,3,112,4,3
24,87,64,6,14,0,4,1,8,5,3
25,116,81,0,15,0,16,14,14,3,2
26,183,71,2,7,0,4,1,54,4,3
27,174,69,2,7,0,4,1,50,4,3
28,113,82,0,10,0,4,2,6,2,3
29,111,63,0,7,0,8,4,31,1,2
30,144,71,0,13,0,1,1,28,4,2
31,86,70,10,8,0,5,1,0,2,3
32,70,48,1,16,1,3,3,8,3,3
33,87,54,8,11,0,4,2,15,5,5
34,90,70,8,6,0,7,1,4,4,3
35,104,44,0,14,0,4,1,28,5,2
36,224,76,5,9,0,5,1,73,4,3
37,103,41,0,9,0,3,1,29,3,2
38,94,70,11,13,0,17,2,6,2,2
39,83,58,10,10,0,6,2,8,2,2
40,129,83,0,13,0,13,2,27,2,3
41,96,79,1,13,0,6,2,0,1,3
42,85,65,4,10,0,6,1,4,6,3
43,94,73,14,10,0,2,1,0,3,3
44,97,72,11,10,0,6,1,6,4,3
45,113,73,6,7,0,11,2,23,4,3
46,99,75,11,11,0,7,1,7,2,3
47,107,67,14,9,0,7,2,19,2,2
48,117,90,14,7,0,8,1,6,3,3
49,105,77,9,14,0,7,2,8,6,3
50,95,72,9,10,0,15,1,6,2,3
51,90,67,8,13,0,7,1,7,4,3
52,122,94,11,14,0,4,1,8,5,3
53,98,63,3,14,1,2,7,13,7,3
54,98,38,0,7,0,4,1,30,3,2
55,188,153,1,15,0,9,1,6,3,3
56,97,74,0,9,0,6,2,3,3,2
57,86,61,5,11,0,4,1,8,5,3
58,85,65,7,6,0,6,1,6,3,3
59,88,74,2,6,0,2,1,1,7,2
60,180,145,1,15,0,9,1,6,3,3
61,92,74,10,12,0,72,2,2,1,2
62,148,66,5,11,0,4,1,31,2,2
63,107,78,0,10,0,4,2,4,2,3
64,89,75,0,6,0,12,1,2,8,2
65,83,62,7,10,0,6,1,6,4,3
66,93,68,11,8,0,4,1,6,4,3
67,101,83,1,13,0,6,2,0,1,3
68,113,67,0,9,0,8,3,21,2,2
69,85,60,13,11,0,66,2,6,1,2
70,65,47,0,10,0,1,1,5,3,3
71,109,90,9,15,0,12,2,1,4,6
72,93,49,0,10,0,13,2,31,1,2
73,111,94,9,17,0,7,1,0,4,3
74,128,110,9,17,0,7,1,0,5,3
75,96,74,8,8,0,4,1,6,4,3
76,109,90,6,9,0,2,2,1,7,5
77,87,67,7,9,0,19,1,6,3,3
78,113,92,1,10,0,5,2,4,4,2
79,142,113,12,11,0,7,2,5,4,3
80,88,65,8,10,0,7,1,6,5,3
81,106,78,0,10,0,4,2,3,2,3
82,87,62,13,11,0,68,2,6,1,2
83,97,64,15,15,0,13,3,10,2,6
84,136,52,0,9,0,4,1,41,2,2
85,88,61,8,11,0,7,2,10,3,2
86,112,88,9,13,0,9,1,6,3,3
87,87,50,0,15,0,4,1,23,10,3
88,86,59,8,11,0,7,2,10,3,2
89,164,121,18,11,0,4,2,15,5,5
90,123,94,14,17,0,9,1,8,3,3
91,127,93,7,13,0,16,2,17,3,3
92,119,92,14,12,0,7,1,7,2,3
93,107,45,8,13,0,4,1,46,4,3
94,87,51,0,15,0,4,1,22,10,3
95,111,77,4,10,0,7,2,16,7,2
96,99,45,0,12,0,3,1,23,2,2
97,92,64,14,6,0,6,1,7,3,3
98,115,85,10,14,0,4,2,8,7,3
99,100,77,14,15,0,77,2,3,1,3
100,91,41,0,9,0,3,1,21,3,2
101,127,99,9,14,0,10,2,8,6,3
102,164,104,0,12,0,7,14,37,2,3
103,113,72,16,9,0,8,2,18,2,2
104,102,47,5,10,0,5,1,37,5,3
105,132,98,14,14,0,7,2,9,6,3
106,91,67,11,7,0,8,1,6,3,3
107,96,80,10,12,0,76,2,0,1,2
108,96,79,5,9,0,4,1,0,6,3
109,93,74,3,14,0,6,2,4,3,3
110,141,84,2,15,0,7,3,26,3,2
111,66,41,0,16,1,10,3,16,3,3
112,107,80,14,7,0,8,1,6,3,3
113,83,67,0,6,0,4,2,3,3,2
114,280,122,1,11,0,4,2,79,1,3
115,121,104,8,15,0,12,2,0,4,6
116,99,85,6,17,0,6,1,0,4,3
117,94,67,11,15,0,56,1,8,2,3
118,85,41,0,9,0,3,1,17,3,2
119,130,107,1,15,0,9,1,2,3,3
120,91,51,2,9,0,8,3,19,2,2
121,109,73,6,11,0,4,1,19,7,3
122,119,100,11,17,0,7,1,0,4,3
123,96,75,9,6,0,7,1,4,4,3
124,64,47,0,10,0,1,1,4,3,3
125,99,72,14,13,0,7,2,6,2,2
126,78,59,9,14,0,4,1,4,2,3
127,100,79,7,15,0,6,1,6,2,3
128,136,92,15,11,0,4,2,19,5,5
129,115,74,16,11,0,4,2,15,5,5
130,86,72,3,13,0,8,2,0,6,3
131,89,70,6,15,0,9,1,6,3,3
132,92,70,10,6,0,7,1,4,4,3
133,90,64,4,15,0,10,1,12,2,3
134,124,97,8,14,0,4,2,8,6,3
135,117,72,0,12,0,7,6,30,2,3
136,102,76,7,13,0,9,1,10,3,3
137,104,65,13,9,0,7,2,19,2,2
138,88,66,4,12,0,8,1,8,6,3
139,309,122,1,11,0,4,2,99,1,3
140,146,114,19,10,0,7,1,7,2,3
141,88,36,1,9,0,5,1,25,4,3
142,87,72,5,11,0,2,1,0,6,3
143,115,81,8,10,0,7,2,9,2,2
144,353,107,7,9,0,4,1,127,4,3
145,402,123,10,9,0,4,1,141,4,3
146,90,68,6,6,0,8,1,8,4,2
147,108,83,12,6,0,6,1,6,3,3
148,101,82,11,12,0,81,2,2,1,2
149,139,92,0,12,0,7,9,29,2,3
150,130,111,10,17,0,7,1,0,5,3
151,83,62,10,15,0,60,1,5,1,3
152,72,39,0,13,1,11,3,23,4,3
153,96,70,12,10,0,6,1,6,4,3
154,99,33,0,9,0,81,1,33,2,4
155,56,47,2,0,0,10,3,0,4,-1
156,119,85,7,13,0,16,2,17,3,3
157,135,84,0,13,0,7,5,28,2,3
158,129,83,0,13,0,13,2,27,2,3
159,93,60,1,15,0,7,2,18,3,2
160,309,103,6,9,0,4,1,102,4,3
161,84,61,9,7,0,5,1,7,3,2
162,106,77,0,10,0,4,2,4,2,3
163,98,74,6,14,0,10,2,8,3,3
164,99,83,5,15,0,12,2,0,4,6
165,97,63,8,7,0,5,1,16,3,2
166,100,62,0,15,0,16,5,19,3,2
167,93,71,8,11,1,5,3,0,1,3
168,90,63,2,10,0,7,2,12,6,2
169,83,63,7,15,0,9,1,6,3,3
170,87,51,0,15,0,4,1,22,10,3
171,67,54,6,23,1,35,2,0,2,3
172,104,77,15,7,0,8,1,5,3,3
173,108,76,1,15,0,7,10,15,3,2
174,99,46,0,23,0,0,1,25,1,3
175,137,85,0,12,0,7,9,34,2,3
176,118,64,9,10,0,5,1,36,5,3
177,94,65,13,13,0,6,2,9,2,2
178,168,62,4,9,0,5,1,50,4,3
179,100,78,2,7,0,11,2,6,3,3
180,87,52,0,15,0,4,1,21,10,3
181,149,108,5,17,0,14,3,17,1,3
182,102,78,5,9,0,5,5,3,6,3
183,124,89,16,14,0,2,1,9,6,3
184,87,67,8,6,0,7,1,4,4,3
185,85,55,12,15,0,7,3,10,2,6
186,84,61,8,11,0,7,2,6,3,2
187,110,78,14,12,0,90,2,12,1,3
188,126,103,14,9,0,4,1,0,3,3
189,163,92,0,12,0,7,10,52,2,3
190,131,92,0,13,0,13,2,9,2,3
191,108,79,0,10,0,4,2,4,2,3
192,84,60,6,14,0,10,1,8,6,3
193,46,40,0,0,1,17,3,0,2,-1
194,139,97,17,11,0,4,2,15,5,5
195,87,64,9,7,0,5,1,7,3,2
196,93,70,9,7,0,8,1,7,3,3
197,108,90,2,9,0,5,3,2,6,3
198,88,68,3,14,0,4,1,7,4,3
199,87,53,0,15,0,4,1,20,10,3
200,85,71,7,17,0,4,1,0,3,3
201,89,67,8,10,0,6,1,6,4,3
202,116,81,14,14,0,1,1,13,2,3
203,92,40,2,10,0,3,1,39,6,3
204,96,62,9,11,0,4,2,15,5,5
205,120,75,0,14,0,8,1,26,7,3
206,103,82,0,13,0,10,2,6,3,6
207,121,95,0,13,0,4,2,6,3,6
208,87,49,0,15,0,4,1,24,10,3
209,87,54,0,15,0,4,1,19,10,3
210,182,65,5,9,0,4,1,56,4,3
211,110,71,6,10,0,7,2,14,2,2
212,85,65,4,10,0,6,1,4,6,3
213,86,62,11,7,0,8,1,6,3,3
214,131,84,0,12,0,7,9,29,2,3
215,94,66,13,13,0,27,2,8,2,2
216,165,59,2,7,0,4,1,54,4,3
217,83,64,4,15,0,4,1,8,3,3
218,101,74,8,14,0,8,2,8,6,3
219,309,97,6,9,0,4,1,108,4,3
220,106,77,0,10,0,4,2,4,2,3
221,167,100,0,12,0,7,18,40,2,3
222,129,112,5,12,0,18,3,0,6,6
223,113,38,2,7,0,4,1,41,4,3
224,119,92,14,15,0,9,1,6,3,3
225,1189,308,0,12,0,11,15,784,1,3
226,100,64,5,15,0,16,2,18,3,2
227,39,33,0,0,0,3,3,0,3,-1
228,83,32,0,16,0,3,1,26,3,3
229,132,88,0,12,0,7,9,26,2,3
230,99,76,11,7,0,8,1,5,3,3
